Note,note_kor
Incense,인센스 (향)
Yuzu,유자
Clary sage,클라리 세이지
Lily of the valley,릴리 오브 더 밸리
Saffron,사프란
Rosa centifolia,로사 센티폴리아
Aldehydes,알데하이드
Cistus,시스투스
Myrrh,미르 (몰약)
Omani white frankincense,오만 화이트 프랑킨센스
Civet,시벳 (영향)
Apricot,애프리콧 (살구)
Peach,피치 (복숭아)
Lychee,리치
Teakwood,티크우드
Fig leaf,피그 리프 (무화과 잎)
Jasmine sambac absolute,자스민 삼박 앱솔루트
Solar note,솔라 노트
Rose absolute,로즈 앱솔루트
Frankincense absolute,프랑킨센스 앱솔루트
Curcuma leaf,쿠르쿠마 리프
Pink pepper CO,핑크 페퍼 CO2
Burmese oud,버미즈 오드
Cambodian oud,캄보디안 오드
Indian oud,인디안 오드
Lemon blossom,레몬 블로썸
Citrus fruits,시트러스 프루츠
Ivy,아이비
Dry woods,드라이 우드
Driftwood,드리프트우드 (유목)
Cashmeran,캐시메란
Mineral notes,미네랄 노트
Cedarwood,시더우드
Gaiac wood,가이악 우드
Elemi resin,엘레미 레진
Everlasting flower,에버래스팅 플라워 (불멸초)
Frankincense,프랑킨센스 (유향)
Castoreum,카스토레움 (해狸향)
Chamomile,캐모마일
Amaretto,아마레토
Cherry blossom nectar,체리 블로썸 넥타
Rose liqueur,로즈 리큐어
Bourbon vanilla absolute,버번 바닐라 앱솔루트
Bourbon vanilla CO,버번 바닐라 CO2
Tobacco absolute,토바코 앱솔루트
Cocoa absolute,코코아 앱솔루트
Oakmoss absolute,오크모스 앱솔루트
Papyrus,파피루스
Ginger CO,진저 CO2
Blood orange,블러드 오렌지
Cinnamon,시나몬 (계피)
Provenal lavender,프로방스 라벤더
Narcissus,나르시서스 (수선화)
Smoked leather,스모크드 레더
Lily,릴리 (백합)
Wild berries,와일드 베리
Peach aldehyde,피치 알데하이드
Water lily,워터 릴리 (수련)
Gardenia,가드니아 (치자나무)
Violet leaf,바이올렛 리프
Green apple,그린 애플
Lemon zest,레몬 제스트
Blackcurrant,블랙커런트
Jujube honey,대추 꿀
Rose Essential,로즈 에센셜
Rose Ultimate Extract,로즈 얼티밋 익스트랙트
Oak,오크 (참나무)
wood CO,우드 CO2
Heliotrope,헬리오트로프
Tarragon,타라곤
Bay leaf,베이 리프 (월계수 잎)
Cyclamen aldehyde,시클라멘 알데하이드
Plum blossom,플럼 블로썸 (매화)
Brazilian rosewood,브라질리안 로즈우드
Peach blossom,피치 블로썸 (복숭아꽃)
Orange blossom absolute,오렌지 블로썸 앱솔루트
Fig,피그 (무화과)
Mango,망고
Papaya,파파야
Amber Xtreme,앰버 익스트림
Saffiano,사피아노
Spearmint,스피어민트
Jasmine tea,자스민 티
Cumin,큐민
Mace,메이스
Tea,티 (차)
Red berries,레드 베리
Copaiba balsam,코파이바 발삼
Frankincense resin,프랑킨센스 레진
French spike lavender,프렌치 스파이크 라벤더
Liquorice,리코리스 (감초)
Absinth,앱신스
Chili,칠리
Animalic notes,애니말릭 노트 (동물성 향)
Earthy notes,얼씨 노트 (흙내음)
Cassia,카시아
Sichuan pepper,쓰촨 페퍼 (산초)
Citrus notes,시트러스 노트
Mysore sandalwood,마이소르 샌달우드
Omani cistus,오만 시스투스
Omani green frankincense,오만 그린 프랑킨센스
Grasse jasmine,그라스 자스민
Florentine iris,플로렌틴 아이리스
Osmanthus,오스만투스 (금목서)
Akigalawood,아키갈라우드
Georgywood,조지우드
Cypriol,시프리올
Pear,페어 (배)
Hazelnut,헤이즐넛
Rose water,로즈 워터
Bitter almond,비터 아몬드
Opoponax,오포파낙스
Rhubarb leaf,루바브 리프
Tonka bean absolute,통카 빈 앱솔루트
Rhubarb,루바브
Turkish rose absolute,터키시 로즈 앱솔루트
Blackcurrant bud,블랙커런트 버드
Oregano,오레가노
Orris butter,오리스 버터
Florentine iris absolute,플로렌틴 아이리스 앱솔루트
Tagetes,타게테스 (메리골드)
Juniper berry,주니퍼 베리
Tobacco,토바코 (담배)
Geraniol,제라니올
Ambrox,암브록스
Honey,허니 (꿀)
Pipe tobacco,파이프 토바코
Davana,다바나
Turkish rose otto absolute,터키시 로즈 오토 앱솔루트
Bay rum,베이 럼
Celery seed,셀러리 씨드
Scotch broom,스카치 브룸 (금작화)
Blackberry,블랙베리
Laurel,로렐 (월계수)
Orchid,오키드 (난초)
Omanian ambergris,오만 앰버그리스
Tree moss,트리 모스
Immortelle,이모르뗄
Plum,플럼 (자두)
Broom,브룸 (금작화)
Thyme,타임 (백리향)
Rose hip,로즈힙
Peru balsam,페루 발삼
Beeswax,비즈왁스 (밀랍)
Camellia,카멜리아 (동백)
Nagarmotha,나гар모타 (시프리올)
Ambranum,암브라넘
Gum rockrose,검 락로즈
Balsam,발삼
Indian jasmine sambac,인디안 자스민 삼박
Comorian ylang-ylang,코모로 일랑일랑
Morrocan orange blossom,모로칸 오렌지 블로썸
Varnish,바니시
Metallic notes,메탈릭 노트
Laotian oud,라오티안 오드
Ambrarome,암브라롬
Rose oxide,로즈 옥사이드
Rosebud,로즈버드 (장미 봉오리)
Woodleather,우드레더
Styrax,스타이랙스
Marjoram,마조람
Cocoa,코코아
Orris concrete,오리스 콘크리트
Lilac,라일락
Fenugreek,페누그릭 (호로파)
Peruvian pepper tree,페루비안 페퍼 트리
Rum absolute,럼 앱솔루트
Paradisone,파라디손
Cascalone,카스칼론
Cream,크림
Angelica,안젤리카
Pine,파인 (소나무)
Woods,우즈
Labdanum absolute,랍다넘 앱솔루트
Osmanthus absolute,오스만투스 앱솔루트
Orris root,오리스 루트
Jonquil absolute,존킬 앱솔루트 (수선화)
Java vetiver,자바 베티버
Carrot,캐롯 (당근)
Lavender absolute,라벤더 앱솔루트
Dark woods,다크 우즈
Precious woods,프레셔스 우즈 (귀한 목재)
White blossoms,화이트 블로썸
Taif rose,타이프 로즈
Rum,럼
Ash,애쉬 (재)
Chrysanthemum,크리산세멈 (국화)
Orris absolute,오리스 앱솔루트
Costus root,코스투스 루트
Muscone,머스콘
Damask rose water,다마스크 로즈 워터
Suederal,스웨데랄
Drawing ink,드로잉 잉크
Assam oud,아삼 오드
Liquorice root,리코리스 루트
Prunol,프루놀
Birch tar,비치 타르 (자작나무 타르)
Aniseed,아니씨드
Frankincense oil,프랑킨센스 오일
Oak wood,오크 우드
Mastic absolute,마스틱 앱솔루트
Clary sage absolute,클라리 세이지 앱솔루트
Cognac,꼬냑
Apple brandy,애플 브랜디
Cade juniper,케이드 주니퍼
Mystikal,미스티칼
Suede,스웨이드
Bitter orange leaf,비터 오렌지 리프
Red pepper,레드 페퍼
Green leaves,그린 리프
Rosa centifolia absolute,로사 센티폴리아 앱솔루트
Cade juniper wood,케이드 주니퍼 우드
Persian saffron,페르시안 사프란
Hay,헤이 (건초)
Carrot leaf,캐롯 리프
Orange brandy,오렌지 브랜디
Virginia tobacco,버지니아 토바코
Blackcurrant liqueur,블랙커런트 리큐어
Almond,아몬드
Rosewood,로즈우드
Litsea cubeba,리체아 쿠베바
Vanilla absolute,바닐라 앱솔루트
Cassis,카시스
Holly,홀리 (호랑가시나무)
Honeysuckle,허니서클 (인동덩굴)
False Jasmine,폴스 자스민
Syringa,시링가 (고광나무)
Grass,그라스 (풀)
Cacao,카카오
Linden,린든 (보리수)
Blossom,블로썸 (꽃)
Palisander Rosewood,팔리산더 로즈우드
null,알 수 없음
Linden Blossom,린든 블로썸
Salt,솔트 (소금)
Balsam Fir,발삼 퍼 (전나무)
Exotic floral notes,이그조틱 플로럴 노트
Tomato Leaf,토마토 리프
Boronia,보로니아
Indian Mimosa,인디안 미모사
Lydia Broom,리디아 브룸
Hiacynth,히아신스
Hyacinth,히아신스
Green Notes,그린 노트
Caraway,캐러웨이
Sandalowood,샌달우드
Green Mandarin,그린 만다린
Sicilian Bergamot,시칠리안 베르가못
Tangerine,탠저린
Mandarin Blossom,만다린 블로썸
boxwood,박스우드 (회양목)
Fir,퍼 (전나무)
Fir Resin,퍼 레진
Pomegranate,포머그래닛 (석류)
Cherry,체리
Blueberry,블루베리
Red Currant,레드 커런트
Rose de Mai,로즈 드 메
Egyptian Rose,이집션 로즈
Moroccan Rose,모로칸 로즈
Pink Peony,핑크 피오니
Black Tea,블랙 티 (홍차)
Frangipani,프랜지파니
Tiare Flower,티아레 플라워
Champaca,참파카
Sweet Pea,스위트 피
Rose Geranium,로즈 제라늄
Hedione,헤디온
Powdery Notes,파우더리 노트
Sea Salt,씨 솔트
Spicy Notes,스파이시 노트
Vanilla orchid,바닐라 오키드
Woody Notes,우디 노트
Marshmallow,마시멜로
Wild Orchid,와일드 오키드
Sugar,슈가 (설탕)
Whipped cream,휘핑 크림
Cashmere Wood,캐시미어 우드
Guatemalan Cardamom,과테말란 카다멈
Egyptian Jasmine,이집션 자스민
White Amber,화이트 앰버
Tunisian Neroli,튀니지안 네롤리
Juniper Berries,주니퍼 베리
elemi,엘레미
Clementine,클레멘타인
Birch Leaf,비치 리프 (자작나무 잎)
Madagascar Vanilla,마다가스카르 바닐라
Tobacco blossom,토바코 블로썸
Pink Grapefruit,핑크 그레이프프루트
Calabrian Mandarin,칼라브리안 만다린
Somalian Opoponax,소말리안 오포파낙스
Texas Cedar,텍사스 시더
Clover,클로버
Tunisian Orange Blossom,튀니지안 오렌지 블로썸
Maple sap,메이플 수액
Eucalyptus,유칼립투스
Maple,메이플 (단풍)
Sequoia,세쿼이아
Pomelo,포멜로
Chinese Osmanthus,차이니즈 오스만투스
African Geranium,아프리칸 제라늄
Australian Sandalwood,오스트레일리안 샌달우드
Cherry Blossom,체리 블로썸
Turkey Red Rose,터키 레드 로즈
Green Tea,그린 티 (녹차)
Coconut,코코넛
Bamboo,밤부 (대나무)
Black and Pink Pepper,블랙 앤 핑크 페퍼
Cypriol Oil or Nagarmotha,시프리올 오일 (나가르모타)
Rhuburb,루바브
Celery Seeds,셀러리 씨드
Coumarin,쿠마린
Pineapple,파인애플
Animal notes,애니멀 노트
Liquor,리커 (술)
Dried Fruits,드라이 프루츠 (말린 과일)
Dates,데이츠 (대추야자)
Litchi,리치
May Rose,메이 로즈
Black Licorice,블랙 리코리스
Foulness,파울니스 (악취)
Carrion,캐리온 (썩은 고기 향)
Fruits,프루츠 (과일)
Nausea,노지아
Blimfark,블림파크
Trungle,트런글
White Rose,화이트 로즈
Canadian Fir,캐나디안 퍼
Siberian Pine,시베리안 파인
Cypress Leaf,사이프러스 리프
Pear Wood,페어 우드
Rhododendron,로도덴드론 (진달래)
Chestnut,체스트넛 (밤)
Laurels,로렐
Rubber,러버 (고무)
Gorptik,고르프틱
Rot,로트 (부패한 향)
Stench,스텐치 (악취)
Vervain,버베인 (마편초)
Spoiled Spice,스포일드 스파이스
Apple,애플 (사과)
Dyer s Greenweed,다이어스 그린위드
Gorse,고스 (가시금작화)
tincture of rose,로즈 팅크처
Granny Smith apple,그래니 스미스 애플
Grapes,그레이프 (포도)
Wormwood,웜우드 (쓴쑥)
Cashmirwood,캐시미어우드
Lotus,로터스 (연꽃)
Melon,멜론
Ozonic notes,오조닉 노트 (공기 향)
Passionfruit,패션프루트
Candied Almond,캔디드 아몬드
Mahogany,마호가니
Lemongrass,레몬그라스
Wild Rose,와일드 로즈
Oriental Woodsy notes,오리엔탈 우디 노트
Gray Musk,그레이 머스크
Orris,오리스
Verbena,버베나
Petalia,페탈리아
Blackberry leaf,블랙베리 리프
White Woods,화이트 우즈
Pineapple Leaf,파인애플 리프
Watery Notes,워터리 노트
Water Notes,워터 노트
Tobacco Leaf,토바코 리프
Amberwood,앰버우드
Quince,퀸스 (모과)
Bourbon Geranium,버번 제라늄
African Orange flower,아프리칸 오렌지 플라워
Floral Notes,플로럴 노트
Sea water,씨 워터 (바닷물)
Wheat,위트 (밀)
Solar notes,솔라 노트
Sand,샌드 (모래)
Bellflower,벨플라워 (도라지꽃)
Milk,밀크 (우유)
White Pepper,화이트 페퍼
Cranberry,크랜베리
Rose Oil,로즈 오일
Violet Root,바이올렛 루트
Nectarine,넥타린 (천도복숭아)
Red Cyclamen,레드 시클라멘
Blue Hyacinth,블루 히아신스
Mignonette,미뇨네트 (물푸레나무)
Wisteria,위스테리아 (등나무)
Flax,플랙스 (아마)
Cotton Flower,코튼 플라워 (목화)
Licorice,리코리스
Resin,레진
Vodka,보드카
Dark Chocolate,다크 초콜릿
Galanga,갈랑가
Oak Tree,오크 트리
Teak Wood,티크 우드
Nutmeg Flower,넛맥 플라워
Darjeeling Tea,다즐링 티
Black Elder,블랙 엘더 (딱총나무)
Nougat,누가
Grapefruit blossom,그레이프프루트 블로썸
Sunflower,선플라워 (해바라기)
Sicilian Orange,시칠리안 오렌지
Shiso,시소 (차조기)
Walnut,월넛 (호두)
white honey,화이트 허니
White Pear,화이트 페어
Cactus Juice,캑터스 주스 (선인장 즙)
White Iris,화이트 아이리스
Mate,마테
Italian Lemon,이탈리안 레몬
Gingerbread,진저브레드
Ambroxan,암브록산
Masala Chai,마살라 차이
White Chocolate,화이트 초콜릿
Goji Berries,고지 베리 (구기자)
Siam Benzoin,시암 벤조인
Pear Blossom,페어 블로썸
Pistachio,피스타치오
Indian Tuberose,인디안 튜베로즈
Indian Saffron,인디안 사프란
Passion Flower,패션 플라워
Cacao Pod,카카오 포드
Costus,코스투스
Brandy,브랜디
Water Jasmine,워터 자스민
Rice,라이스 (쌀)
Cardamon,카다멈
Russian Leather,러시안 레더
Hawthorn,호손 (산사나무)
Pink Rose,핑크 로즈
Coriander iandaldehydes,코리안더 알데하이드
Coffee,커피
cannabis,카나비스 (대마)
West Indian Bay,웨스트 인디안 베이
Methyl Pamplemousse,메틸 팜플무스
Copahu Balm,코파후 밤
Carrot Seeds,캐롯 씨드
White Tea,화이트 티
Buchu or Agathosma,부추 (아가토스마)
Grasse Rose,그라스 로즈
Black amber,블랙 앰버
White suede,화이트 스웨이드
Buchu,부추
African violet,아프리칸 바이올렛
Wild iris,와일드 아이리스
Cashmere,캐시미어
Spanish bitter orange,스패니시 비터 오렌지
Black violet,블랙 바이올렛
Blond woods,블론드 우즈
Honey pomelo,허니 포멜로
Black plum,블랙 플럼
Arabian rose,아라비안 로즈
Black leather,블랙 레더
Palo Santo,팔로 산토
Mirabelle plum,미라벨 플럼
Angelica seed,안젤리카 씨드
Charred wood,차드 우드 (그을린 나무)
Carrot seed,캐롯 씨드
Wild fig,와일드 피그
Nepalese sichuan pepper,네팔리시 쓰촨 페퍼
Temple incense,템플 인센스 (사원 향)
Lingonberry,링곤베리
Pine needle,파인 니들 (솔잎)
Silver birch,실버 비치 (은자작나무)
Somalian frankincense,소말리안 프랑킨센스
Pink freesia,핑크 프리지아
Tulip,튤립
Clover honey,클로버 허니
Adoxal,아독살
White cedarwood,화이트 시더우드
Bitter orange blossom,비터 오렌지 블로썸
Mandarin orange leaf,만다린 오렌지 리프
Ceylon tea,실론 티
Birch wood,비치 우드
Mat,마테
Sapote,사포테
White gardenia,화이트 가드니아
Civettone,시베톤
Mahogany wood,마호가니 우드
Jasmine absolute,자스민 앱솔루트
Tuscan leather,투스칸 레더
Cotton,코튼
Egyptian jasmine absolute,이집션 자스민 앱솔루트
Ambrette seed,암브레트 씨드
Pralin,프랄린
Abelmoschus,아벨모스쿠스
Red apple,레드 애플
Tiar,티아레
Raspberry blossom,라즈베리 블로썸
Oleander,올랜더 (협죽도)
Cotton candy,코튼 캔디 (솜사탕)
Californian lemon,캘리포니안 레몬
Fir balsam,퍼 발삼
Gin,진
Coconut water,코코넛 워터
Pebbles,페블스 (조약돌)
Wasabi,와사비
Starfish,스타피쉬 (불가사리)
Bellini,벨리니
Citrus Blossom,시트러스 블로썸
Green Grass,그린 그라스 (푸른 풀)
jackfruit,잭프루트
Cactus,캑터스 (선인장)
Red Cedar,레드 시더
Red currant leaf,레드 커런트 리프
Guava,구아바
Cucumber,큐컴버 (오이)
Watermelon,워터멜론 (수박)
Mexican chocolate,멕시칸 초콜릿
Red Poppy,레드 포피 (양귀비)
Fruity Notes,프루티 노트
Chocolate,초콜릿
Mojito,모히토
Blueberry Leaf,블루베리 리프
Kiwi,키위
Mandarin Leaf,만다린 리프
Marigold,메리골드
Water Mint,워터 민트
Fern,펀 (양치식물)
Tequila,데킬라
Coconut Milk,코코넛 밀크
Tonic Water,토닉 워터
Lemon Peel,레몬 필 (레몬 껍질)
Tahitian Tiare Flower,타히티안 티아레 플라워
Ebony Wood,에보니 우드 (흑단)
White Lily,화이트 릴리
Japanese Pink Lotus,재패니즈 핑크 로터스
Chinese Pink Peony,차이니즈 핑크 피오니
Carambola,카람볼라 (스타프루트)
Star Fruit,스타 프루트
Moroccan Cedar,모로칸 시더
Coconut Nectar,코코넛 넥타
Sorbet,소르베 (셔벗)
Martini,마티니
Bamboo Leaf,밤부 리프
Palm Leaf,팜 리프 (야자잎)
Red Amber,레드 앰버
Kumquat,금귤 (낑깡)
Hinoki Wood,히노키 우드 (편백나무)
Black Rose,블랙 로즈
Black Orchid,블랙 오키드
Green Accord,그린 어코드
Japanese Loquat,비파나무
Berry Fruits,베리 프루츠
Black Basil,블랙 바질
Brazilian Redwood,브라질리안 레드우드
Guarana,과라나
White Flowers,화이트 플라워
Agave,아가베
Silkwood Blossom,실크우드 블로썸 (자귀나무 꽃)
Vetiver Root,베티버 루트
Indian Jasmine,인디안 자스민
Tahitian Vetiver,타히티안 베티버
Blood Mandarin,블러드 만다린
Oriental notes,오리엔탈 노트
Water Hyacinth,워터 히아신스
Civetta,시베타 (시벳)
Italian Jasmine,이탈리안 자스민
Wildflowers,와일드플라워 (야생화)
Tahitian Vanilla,타히티안 바닐라
Sicilian Peony,시칠리안 피오니
Ambretone,암브레톤
Stephanotis,스테파노티스 (마다가스카르 자스민)
Nasturcia,나스터튬 (한련화)
White tobacco,화이트 토바코
Apple Blossom,애플 블로썸
Moroccan Jasmine,모로칸 자스민
Amaryllis,아마릴리스
Lemon Tree,레몬 트리
Almond Blossom,아몬드 블로썸
Herbal Notes,허벌 노트
Night blooming Cereus,나이트 블루밍 세레우스 (월하미인)
Grenadine,그레나딘 (석류 시럽)
Ginger flower,진저 플라워
Wallflower,월플라워
Fig Wood Bark,피그 우드 바크
French Violet,프렌치 바이올렛
Damask Plum,다마스크 플럼
Sweet Almond,스위트 아몬드
Sour Cherry,사워 체리
Praline,프랄린
Turkish Rose Oil,터키시 로즈 오일
Italian Mandarin,이탈리안 만다린
Popocorn,팝콘
Strawberry,스트로베리
Forest Fruits,포레스트 프루츠
Frosted Orange,프로스티드 오렌지
Asafoetida,아위 (아사포에티다)
Bergamot Blossom,베르가못 블로썸
Mountain Air,마운틴 에어 (산공기 향)
Ceylon Cinnamon,실론 시나몬
Egyptian Pelargonium,이집션 제라늄
Dianthus,다이안서스 (패랭이꽃)
Cottonwood,코튼우드 (미루나무)
Poplar,포플러
Yellow Freesia,옐로우 프리지아
Cedar Needles,시더 니들
Black Musk,블랙 머스크
Rose Petals,로즈 페탈 (장미 꽃잎)
White Wood,화이트 우드
Blood Grapefruit,블러드 그레이프프루트
Daisy,데이지
Calone,칼론 (바다 물결 향)
Limoncello,리몬첼로
Copaiba balm,코파이바 밤
Night Blooming Jasmine,나이트 블루밍 자스민
White Magnolia,화이트 매그놀리아
Dew Drop,듀 드롭 (이슬)
Rock rose,락 로즈
Liatris,리아트리스
Raspberry Leaf,라즈베리 리프
White Cedar Extract,화이트 시더 익스트랙트
Sweet Notes,스위트 노트
Big Strawberry,빅 스트로베리
Tea Rose,티 로즈
Star Jasmine,스타 자스민
White Orchid,화이트 오키드
Macarons,마카롱
White Grapefruit,화이트 그레이프프루트
Ravello Rose,라벨로 로즈
Parma Violet,파르마 바이올렛
Bougainvillea,부겐빌레아
Pink Jasmine,핑크 자스민
Italian Violet,이탈리안 바이올렛
Orange Peel,오렌지 필
Sugar Cane,슈가 케인 (사탕수수)
White Rum,화이트 럼
White Bergamot,화이트 베르가못
Soil tincture,소일 팅크처 (흙내음)
Khella,켈라 (암미)
Pandanus,판다누스
watercress,워터크레스 (물냉이)
White Ginger,화이트 진저
Sumac,수맥
Nerium Oleander,협죽도
Cabreuva,카브레우바
Thistle,시슬 (엉겅퀴)
Larch,라치 (낙엽송)
Hot iron,핫 아이론 (뜨거운 철 향)
Ember,엠버 (잉걸불)
Cubeb or Tailed pepper,큐벱 (꼬리후추)
Spruce,스프루스 (가문비나무)
Bulrush,불러쉬 (부들)
Populus,포플러스 (포플러)
buds,버즈 (꽃봉오리)
heather,헤더 (히스)
Water pepper,워터 페퍼 (여뀌)
Beech,비치 (너도밤나무)
Portulaca or Pigweed,포르투라카 (쇠비름)
Malt,몰트 (맥아)
Coal,콜 (석탄)
Whiskey,위스키
Aloe Vera,알로에 베라
Celery,셀러리
Banana,바나나
Cupcake,컵케이크
Champagne,샴페인
Red Chilli Pepper,레드 칠리 페퍼
Custard,커스터드
Dandelion,단델리온 (민들레)
Red wine,레드 와인
Belladonna,벨라돈나
Pansy,팬지
Gladiolus,글라디올러스
Ginseng,진생 (인삼)
Industrial glue,인더스트리얼 글루 (공업용 풀 향)
Vanilla Pod,바닐라 포드
Hibiscus leaves,히비스커스 리프
Strawberry Leaf,스트로베리 리프
Ice cream,아이스크림
Persimmon,퍼시몬 (감)
Tomato,토마토
Cheese,치즈
Fennel,펜넬 (회향)
Corn Silk,콘 실크 (옥수수수염)
Tyger Lily,타이거 릴리 (참나리)
Boletus edulis,그물버섯
Peat,피트 (토탄)
Pitahaya,피타하야 (용과)
Strelitzia,스트렐리치아 (극락조화)
Toffee,토피
Marron glace,마롱 글라세
Creme Brulee,크렘 브륄레
spun sugar,스펀 슈가 (솜사탕)
vanilla bean,바닐라 빈
Chili Pepper,칠리 페퍼
Mistletoe,미슬토 (겨우살이)
Olive Blossom,올리브 블로썸
Parsley,파슬리
Pia Colada,피나 콜라다
Privet,프리벳 (쥐똥나무)
Dried Plum,드라이드 플럼 (건자두)
Pumpkin,펌킨 (호박)
Marmalade,마멀레이드
Rice Leaf,라이스 리프
Aromatic Spices,아로마틱 스파이스
Java vetiver oil,자바 베티버 오일
Vinyl,비닐
White wine,화이트 와인
Coral Reef,코랄 리프 (산호초)
Bark,바크 (나무껍질)
Black Vanilla Husk,블랙 바닐라 허스크
Roasted Coffee Beans,로스티드 커피 빈
Sesame,세서미 (참깨)
Kyara Incense,갸라 인센스 (침향)
Black currant leaf,블랙 커런트 리프
Camphor,캠퍼 (장뇌)
Italian Cypress,이탈리안 사이프러스
Cinammon,시나몬
Smoke,스모크 (연기)
Moepel accord,모에펠 어코드
Bran,브랜 (겨)
Papaya flower,파파야 플라워
Vine,바인 (덩굴)
Mimosa absolute,미모사 앱솔루트
Kephalis,케팔리스
Yellow Narcissus,옐로우 나르시서스
black fig,블랙 피그
Rice Flower,라이스 플라워
Mango Blossom,망고 블로썸
Cashmere Musk,캐시미어 머스크
Poppy,포피 (양귀비)
dark woodsy notes,다크 우디 노트
Exotic Woods,이그조틱 우즈
Indian Lotus,인디안 로터스
Arum Lily,아룸 릴리 (카라)
Wild Peony,와일드 피오니
Tamarind,타마린드
Camelia,카멜리아
Boysenberry,보이즌베리
Nectarine blossom,넥타린 블로썸
Exotic Fruits,이그조틱 프루츠
Tropical Fruits,트로피컬 프루츠
Currant buds,커런트 버즈
Lemon Leaf,레몬 리프
Yellow Champaca,옐로우 참파카
Green Orchid,그린 오키드
Casablanca Lily,카사블랑카 릴리
Hortensia,호르텐시아 (수국)
Yellow Plum,옐로우 플럼
Crystal Amber,크리스탈 앰버
Bourbon Vetiver,버번 베티버
Olive Tree,올리브 트리
Blackcurrant Syrup,블랙커런트 시럽
Spicy Mint,스파이시 민트
Candy Apple,캔디 애플
ebony tree,에보니 트리 (흑단나무)
Pelargonium,제라늄
tuber,튜버 (구근)
Red Rose,레드 로즈
Musk Vodka,머스크 보드카
Banana Leaf,바나나 리프
Brown sugar,브라운 슈가
Chinese Cedar,차이니즈 시더
Almond Milk,아몬드 밀크
Amyl Salicylate,아밀 살리실레이트
Mirabilis,분꽃
Oive Leaf,올리브 리프
Citrus Leaves,시트러스 리프
White Sandalwood,화이트 샌달우드
Cedar Essence,시더 에센스
Green Orange,그린 오렌지
Indian Patchouli,인디안 패출리
Patchouli Leaf,패출리 리프
